Order_ID,Order_Date,Year,Month,Quarter,Season,Customer_ID,Customer_Gender,Customer_Segment,Region,Country,Category,Sub_Category,Product_Name,Unit_Price,Quantity,Discount,Revenue,Cost,Profit,Profit_Margin_Percent,Shipping_Cost,Shipping_Method,Shipping_Days,Payment_Method,Order_Status,Is_Valid_Quantity,Is_Valid_Unit_Price,Is_Valid_Discount,Is_Valid_Revenue,Is_Valid_Profit,Expected_Revenue,Revenue_Diff,Expected_Profit,Profit_Diff,Row_Valid,Order_Year,Order_Month,Order_Month_Name,Order_Day,Order_Weekday,Average_Revenue_Per_Unit,Calculated_Margin_Percent,Profit_Category,Fast_Shipping,Revenue_Anomaly,Profit_Anomaly
ORD-000001,2023-01-18,2023,1,Q1,Winter,CUST-02791,Male,New,North America,Mexico,Electronics,Smartphones,Xiaomi 13,520.4,7,0.0,3642.8,2444.11,1198.69,32.91,2.25,Economy,4,Google Pay,Delivered,True,True,True,True,True,3642.8,0.0,1198.69,0.0,True,2023,1,January,18,Wednesday,520.4,32.91,High,False,True,True
ORD-000002,2023-11-13,2023,11,Q4,Fall,CUST-02763,Female,Regular,North America,USA,Books & Media,Books,Thinking Fast and Slow,22.59,2,0.25,33.88,28.32,5.56,16.41,4.72,Economy,5,Credit Card,Delivered,True,True,True,True,True,33.88,0.0,5.56,0.0,True,2023,11,November,13,Monday,16.94,16.41,Low,False,False,False
ORD-000003,2022-04-28,2022,4,Q2,Spring,CUST-05729,Male,Regular,North America,Canada,Electronics,Headphones,Bose QC45,241.3,1,0.0,241.3,161.41,79.89,33.11,13.28,Standard,8,Credit Card,Processing,True,True,True,True,True,241.3,0.0,79.89,0.0,True,2022,4,April,28,Thursday,241.3,33.11,Medium,False,False,False
ORD-000004,2021-10-22,2021,10,Q4,Fall,CUST-06490,Female,Regular,Asia,Japan,Clothing,Women's Wear,Summer Dress,130.9,5,0.0,654.5,369.16,285.34,43.6,31.11,Express,16,Google Pay,Processing,True,True,True,True,True,654.5,0.0,285.34,0.0,True,2021,10,October,22,Friday,130.9,43.6,High,False,False,True
ORD-000005,2023-08-06,2023,8,Q3,Summer,CUST-07594,Female,Premium,Europe,France,Clothing,Footwear,Adidas Ultraboost,74.51,3,0.2,178.82,118.69,60.13,33.63,8.44,Standard,5,Debit Card,Delivered,True,True,True,True,True,178.82,0.0,60.13,0.0,True,2023,8,August,6,Sunday,59.60666666666666,33.63,Medium,False,False,False
ORD-000006,2021-06-25,2021,6,Q2,Summer,CUST-07119,Female,New,Asia,China,Clothing,Footwear,Puma Running Shoes,81.89,8,0.25,491.34,372.56,118.78,24.17,56.98,Overnight,18,Apple Pay,Delivered,True,True,True,True,True,491.34,0.0,118.78,0.0,True,2021,6,June,25,Friday,61.4175,24.17,Medium,False,False,False
ORD-000007,2024-02-07,2024,2,Q1,Winter,CUST-04126,Female,New,Europe,Germany,Clothing,Men's Wear,Chino Pants,66.82,1,0.0,66.82,47.33,19.49,29.17,6.77,Economy,11,Debit Card,Returned,True,True,True,True,True,66.82,0.0,19.49,0.0,True,2024,2,February,7,Wednesday,66.82,29.17,Low,False,False,False
ORD-000008,2022-06-05,2022,6,Q2,Summer,CUST-06895,Female,New,Middle East,Jordan,Electronics,Smartphones,Google Pixel 7,975.79,1,0.5,487.89,538.69,-50.8,-10.41,33.61,Express,18,Cash on Delivery,Delivered,True,True,True,True,True,487.9,-0.01,-50.8,0.0,True,2022,6,June,5,Sunday,487.89,-10.41,Loss,False,False,False
ORD-000009,2022-11-05,2022,11,Q4,Fall,CUST-01004,Female,VIP,Europe,France,Books & Media,Books,Deep Work,35.25,2,0.3,49.35,44.6,4.75,9.63,36.18,Express,13,Credit Card,Delivered,True,True,True,True,True,49.35,0.0,4.75,0.0,True,2022,11,November,5,Saturday,24.675,9.63,Low,False,False,False
ORD-000010,2023-03-14,2023,3,Q1,Spring,CUST-02051,Female,New,North America,Mexico,Home & Kitchen,Furniture,Bookshelf 5-Tier,110.12,1,0.4,66.07,80.84,-14.77,-22.36,8.53,Economy,5,PayPal,Delivered,True,True,True,True,True,66.07,0.0,-14.77,0.0,True,2023,3,March,14,Tuesday,66.07,-22.36,Loss,False,False,False
ORD-000011,2023-08-14,2023,8,Q3,Summer,CUST-01991,Male,Regular,Asia,Japan,Books & Media,Software,Microsoft Office 365,233.65,1,0.05,221.97,155.12,66.85,30.12,9.2,Economy,24,Credit Card,Delivered,True,True,True,True,True,221.97,0.0,66.85,0.0,True,2023,8,August,14,Monday,221.97,30.12,Medium,False,False,False
ORD-000012,2022-10-23,2022,10,Q4,Fall,CUST-01580,Male,Regular,North America,USA,Electronics,Laptops,ASUS ZenBook,1018.41,2,0.0,2036.82,1349.09,687.73,33.76,18.58,Standard,8,Bank Transfer,Returned,True,True,True,True,True,2036.82,0.0,687.73,0.0,True,2022,10,October,23,Sunday,1018.41,33.76,High,False,True,True
ORD-000013,2023-04-05,2023,4,Q2,Spring,CUST-06398,Female,Premium,Europe,Italy,Clothing,Footwear,Adidas Ultraboost,158.5,4,0.4,380.4,394.9,-14.5,-3.81,3.52,Economy,6,Apple Pay,Delivered,True,True,True,True,True,380.4,0.0,-14.5,0.0,True,2023,4,April,5,Wednesday,95.1,-3.81,Loss,False,False,False
ORD-000014,2022-06-30,2022,6,Q2,Summer,CUST-02148,Female,Regular,North America,USA,Beauty & Health,Skincare,Vitamin C Serum,14.85,2,0.15,25.24,20.5,4.74,18.78,25.71,Express,10,Debit Card,Returned,True,True,True,True,True,25.24,0.0,4.74,0.0,True,2022,6,June,30,Thursday,12.62,18.78,Low,False,False,False
ORD-000015,2023-07-30,2023,7,Q3,Summer,CUST-04943,Male,Premium,North America,USA,Clothing,Men's Wear,Hoodie Sweatshirt,99.84,1,0.3,69.89,47.86,22.03,31.52,24.99,Express,10,Credit Card,Delivered,True,True,True,True,True,69.89,0.0,22.03,0.0,True,2023,7,July,30,Sunday,69.89,31.52,Low,False,False,False
ORD-000016,2023-08-11,2023,8,Q3,Summer,CUST-05744,Male,Premium,Asia,China,Beauty & Health,Skincare,Retinol Night Cream,31.22,1,0.25,23.41,16.72,6.69,28.58,28.9,Express,11,Credit Card,Delivered,True,True,True,True,True,23.42,-0.01,6.69,0.0,True,2023,8,August,11,Friday,23.41,28.58,Low,False,False,False
ORD-000017,2021-11-08,2021,11,Q4,Fall,CUST-04307,Male,New,North America,USA,Books & Media,Software,Photo Editing Suite,231.46,7,0.3,1134.15,805.62,328.53,28.97,13.93,Standard,6,PayPal,Cancelled,True,True,True,True,True,1134.15,0.0,328.53,0.0,True,2021,11,November,8,Monday,162.02142857142857,28.97,High,False,True,True
ORD-000018,2024-08-04,2024,8,Q3,Summer,CUST-02955,Female,Premium,Middle East,Egypt,Books & Media,Books,Thinking Fast and Slow,12.46,4,0.5,24.92,31.16,-6.24,-25.04,40.09,Express,12,PayPal,Processing,True,True,True,True,True,24.92,0.0,-6.24,0.0,True,2024,8,August,4,Sunday,6.23,-25.04,Loss,False,False,False
ORD-000019,2022-11-06,2022,11,Q4,Fall,CUST-03859,Male,Regular,North America,USA,Home & Kitchen,Furniture,Bedside Table,563.09,1,0.0,563.09,254.96,308.13,54.72,35.18,Express,5,Debit Card,Delivered,True,True,True,True,True,563.09,0.0,308.13,0.0,True,2022,11,November,6,Sunday,563.09,54.72,High,False,False,True
ORD-000020,2023-10-08,2023,10,Q4,Fall,CUST-02100,Female,Regular,North America,Mexico,Clothing,Women's Wear,Yoga Pants,110.87,2,0.4,133.04,165.23,-32.19,-24.2,96.59,Overnight,4,Credit Card,Returned,True,True,True,True,True,133.04,0.0,-32.19,0.0,True,2023,10,October,8,Sunday,66.52,-24.2,Loss,False,False,False
ORD-000021,2022-03-03,2022,3,Q1,Spring,CUST-01756,Female,Regular,Middle East,Kuwait,Clothing,Women's Wear,Blouse Top,97.84,2,0.15,166.33,100.01,66.32,39.87,4.01,Economy,7,Credit Card,Delivered,True,True,True,True,True,166.33,0.0,66.32,0.0,True,2022,3,March,3,Thursday,83.165,39.87,Medium,False,False,False
ORD-000022,2021-08-15,2021,8,Q3,Summer,CUST-05469,Male,Premium,Asia,Singapore,Home & Kitchen,Appliances,Blender Pro,73.63,6,0.25,331.33,271.92,59.41,17.93,6.68,Standard,14,Google Pay,Returned,True,True,True,True,True,331.34,-0.01,59.41,0.0,True,2021,8,August,15,Sunday,55.221666666666664,17.93,Medium,False,False,False
